time,RRP
1515879000,65.89
1515880800,51.81
1515882600,-180.06
1515884400,-254.51
1515886200,-89.33
1515888000,-81.65
1515889800,-77.59
1515891600,-89.31
1515893400,-66.04
1515895200,13.76
1515897000,-0.01
1515898800,46.64
1515900600,49.3
1515902400,56.79
1515904200,59.95
1515906000,60.27
1515907800,61.22
1515909600,62.45
1515911400,62.59
1515913200,63.21
1515915000,87.83
1515916800,120.84
1515918600,92.13
1515920400,90.19
1515922200,92.35
1515924000,89.33
1515925800,99.67
1515927600,95.01
1515929400,81.32
1515931200,76.37
1515933000,81.6
1515934800,72.25
1515936600,90.07
1515938400,113.02
1515940200,75.92
1515942000,68.87
1515943800,60.8
1515945600,64.08
1515947400,75.06
1515949200,74.71
1515951000,77.0
1515952800,85.17
1515954600,115.93
1515956400,101.15
1515958200,92.53
1515960000,123.02
1515961800,109.81
1515963600,111.1
1515965400,99.29
1515967200,81.71
1515969000,98.28
1515970800,83.03
1515972600,85.22
1515974400,76.5
1515976200,83.63
1515978000,81.86
1515979800,100.67
1515981600,93.16
1515983400,96.57
1515985200,98.88
1515987000,99.49
1515988800,90.79
1515990600,83.66
1515992400,78.34
1515994200,74.63
1515996000,82.15
1515997800,79.31
1515999600,82.15
1516001400,84.64
1516003200,85.43
1516005000,89.87
1516006800,88.09
1516008600,86.86
1516010400,86.49
1516012200,86.99
1516014000,70.5
1516015800,70.16
1516017600,67.19
1516019400,72.27
1516021200,72.12
1516023000,82.08
1516024800,85.73
1516026600,61.02
1516028400,69.23
1516030200,74.15
1516032000,57.46
1516033800,59.12
1516035600,51.9
1516037400,52.12
1516039200,59.08
1516041000,61.35
1516042800,63.83
1516044600,76.21
1516046400,78.17
1516048200,93.59
1516050000,96.04
1516051800,88.5
1516053600,87.69
1516055400,80.09
1516057200,82.69
1516059000,87.02
1516060800,90.34
1516062600,89.56
1516064400,94.44
1516066200,100.63
1516068000,110.89
1516069800,109.05
1516071600,108.52
1516073400,116.72
1516075200,114.7
1516077000,110.98
1516078800,110.6
1516080600,114.68
1516082400,111.32
1516084200,129.95
1516086000,126.58
1516087800,111.43
1516089600,122.26
1516091400,119.69
1516093200,114.22
1516095000,111.63
1516096800,102.77
1516098600,89.92
1516100400,92.91
1516102200,87.58
1516104000,83.42
1516105800,86.35
1516107600,84.64
1516109400,109.6
1516111200,117.78
1516113000,79.32
1516114800,95.51
1516116600,81.09
1516118400,78.69
1516120200,79.75
1516122000,82.11
1516123800,80.05
1516125600,77.69
1516127400,77.11
1516129200,76.02
1516131000,73.86
1516132800,91.02
1516134600,95.69
1516136400,128.12
1516138200,123.83
1516140000,130.1
1516141800,102.8
1516143600,112.54
1516145400,109.64
1516147200,134.68
1516149000,132.3
1516150800,131.01
1516152600,144.94
1516154400,144.04
1516156200,174.64
1516158000,181.62
1516159800,141.64
1516161600,135.74
1516163400,134.65
1516165200,128.88
1516167000,122.49
1516168800,133.24
1516170600,149.43
1516172400,148.4
1516174200,143.69
1516176000,195.19
1516177800,190.52
1516179600,135.72
1516181400,118.85
1516183200,112.33
1516185000,107.93
1516186800,98.62
1516188600,99.49
1516190400,124.09
1516192200,119.28
1516194000,97.24
1516195800,97.99
1516197600,94.73
1516199400,72.26
1516201200,68.97
1516203000,65.12
1516204800,70.42
1516206600,67.74
1516208400,63.7
1516210200,61.19
1516212000,59.62
1516213800,56.69
1516215600,61.55
1516217400,65.87
1516219200,57.55
1516221000,57.45
1516222800,61.13
1516224600,62.69
1516226400,84.77
1516228200,105.56
1516230000,127.76
1516231800,87.82
1516233600,90.98
1516235400,90.33
1516237200,100.44
1516239000,112.09
1516240800,122.15
1516242600,120.4
1516244400,122.27
1516246200,230.92
1516248000,218.71
1516249800,190.12
1516251600,2134.46
1516253400,187.5
1516255200,2196.0
1516257000,6255.54
1516258800,14166.5
1516260600,13136.09
1516262400,5693.03
1516264200,292.98
1516266000,281.51
1516267800,2682.53
1516269600,363.52
1516271400,240.01
1516273200,243.02
1516275000,179.07
1516276800,157.34
1516278600,157.18
1516280400,138.89
1516282200,165.82
1516284000,130.6
1516285800,92.1
1516287600,84.85
1516289400,66.5
1516291200,68.74
1516293000,65.97
1516294800,66.14
1516296600,65.78
1516298400,70.1
1516300200,72.91
1516302000,74.52
1516303800,68.2
1516305600,80.37
1516307400,114.27
1516309200,74.56
1516311000,67.98
1516312800,95.98
1516314600,122.52
1516316400,123.8
1516318200,105.0
1516320000,142.89
1516321800,121.59
1516323600,183.66
1516325400,239.5
1516327200,208.2
1516329000,196.23
1516330800,154.31
1516332600,243.05
1516334400,2092.57
1516336200,11864.29
1516338000,13408.28
1516339800,1855.67
1516341600,268.3
1516343400,1912.55
1516345200,5412.78
1516347000,1864.87
1516348800,5332.34
1516350600,111.98
1516352400,135.0
1516354200,127.01
1516356000,151.6
1516357800,115.04
1516359600,141.26
1516361400,121.39
1516363200,108.54
1516365000,136.73
1516366800,119.95
1516368600,122.37
1516370400,87.78
1516372200,89.67
1516374000,81.53
1516375800,64.78
1516377600,71.25
1516379400,96.96
1516381200,99.23
1516383000,92.89
1516384800,83.53
1516386600,72.31
1516388400,66.26
1516390200,78.1
1516392000,66.83
1516393800,82.3
1516395600,89.5
1516397400,123.02
1516399200,103.61
1516401000,103.92
