time,kW
1514847000,-328.10761133599533
1514847300,-334.9501323371729
1514847600,-349.4491051879619
1514847900,-357.8299456032349
1514848200,-367.47149384070315
1514848500,-371.99050393266305
1514848800,-378.64093526497
1514849100,-384.63552514918996
1514849400,-388.79732018781004
1514849700,-391.83847632663907
1514850000,-396.9574072018982
1514850300,-407.18703869340004
1514850600,-408.063075807557
1514850900,-408.0347238294059
1514851200,-400.0458633397701
1514851500,-410.313098387953
1514851800,-424.089368707683
1514852100,-417.4306414599329
1514852400,-427.54500648957014
1514852700,-436.75255834438985
1514853000,-435.02234113236017
1514853300,-435.9553053169801
1514853600,-432.44296466256185
1514853900,-418.1660376063362
1514854200,-427.631790579875
1514854500,-431.60417289099314
1514854800,-417.16792237822494
1514855100,-438.52308345747883
1514855400,-439.20099408561686
1514855700,-443.54018174847005
1514856000,-451.66296196891983
1514856300,-409.09836134799593
1514856600,-424.08395012078984
1514856900,-408.62386979870996
1514857200,-364.58714879530567
1514857500,-383.0859919715301
1514857800,-394.8508817080701
1514858100,-385.10084748758425
1514858400,-383.88084614135596
1514858700,-386.5645613606549
1514859000,-359.4705584134312
1514859300,-337.0523234015727
1514859600,-350.2550280936088
1514859900,-349.69592903912206
1514860200,-330.86923292501524
1514860500,-354.48133009150615
1514860800,-372.3577922372829
1514861100,-381.2348050184439
1514861400,-385.2513977908929
1514861700,-406.29087191325095
1514862000,-395.1951100141552
1514862300,-374.76257441833917
1514862600,-360.5296479719049
1514862900,-360.60318685324
1514863200,-376.0483107974031
1514863500,-390.46285324112506
1514863800,-400.1810186810389
1514864100,-392.25548238391184
1514864400,-348.25498449675507
1514864700,-331.4068557616291
1514865000,-386.5754217468001
1514865300,-376.8393733579501
1514865600,-355.47106098675465
1514865900,-362.21693619852215
1514866200,-354.86541820038894
1514866500,-356.90332585915405
1514866800,-338.97171699927685
1514867100,-332.4698163095881
1514867400,-357.4533230132184
1514867700,-364.4516941678108
1514868000,-348.50061149783846
1514868300,-346.5543143410477
1514868600,-333.11164475783704
1514868900,-307.74792654544586
1514869200,-325.88709589472904
1514869500,-343.20418479770586
1514869800,-328.57478966093606
1514870100,-293.355169981395
1514870400,-299.40288961699713
1514870700,-298.39220786129795
1514871000,-301.03123962893494
1514871300,-285.6299170618319
1514871600,-299.57014146858194
1514871900,-281.18419307552904
1514872200,-275.9245072199714
1514872500,-278.1176265720528
1514872800,-271.6536239737353
1514873100,-254.10105702408228
1514873400,-255.3546459808628
1514873700,-245.71027133925165
1514874000,-224.48786225393303
1514874300,-212.26092720340208
1514874600,-193.62378615286102
1514874900,-178.8450263687952
1514875200,-158.20987698143935
1514875500,-156.5672578079868
1514875800,-150.49982969293697
1514876100,-140.36139664047664
1514876400,-148.29250992799544
1514876700,-134.2762867164596
1514877000,-128.29876043377473
1514877300,-124.41102590570321
1514877600,-118.37761628736658
1514877900,-100.70415016911343
1514878200,-97.27089440060588
1514878500,-89.965303057719
1514878800,-84.59292087844139
1514879100,-74.965230714224
1514879400,-67.8139247312732
1514879700,-61.15894587264299
1514880000,-53.69391963276188
1514880300,-47.51710432696069
1514880600,-41.858518491352626
1514880900,-36.544939186942706
1514881200,-31.05611885592124
1514881500,-26.691965029645612
1514881800,-22.854285512972915
1514882100,-19.488720855301942
1514882400,-16.605743311570073
1514882700,-14.148302218147249
1514883000,-11.658991799105022
1514883300,-9.34345850855643
1514883600,-7.444530213511772
1514883900,-5.648994294480025
1514884200,-4.208843984510925
1514884500,-3.5282282868848744
1514884800,-3.1337629247879994
1514885100,-3.0071582127944425
1514885400,-2.742835441376701
1514885700,-2.34610823736329
1514886000,-1.616155018823506
1514886300,-1.2045703771548435
1514886600,-0.8270156665607941
1514886900,-0.45870765752037
1514887200,-0.42780883320531193
1514887500,-0.4582865620599339
1514887800,-0.448408156197043
1514888100,-0.357669250770355
1514888400,-0.319778248392286
1514888700,-0.3493029895878721
1514889000,-0.3564559789845561
1514889300,-0.36155729486836
1514889600,-0.315230874382309
1514889900,-0.304057748177262
1514890200,-0.37349824215885696
1514890500,-0.298172489626297
1514890800,-0.272304147541437
1514891100,-0.26127188827790104
1514891400,-0.34253629188064305
1514891700,-0.433391182278892
1514892000,-0.33242721442209194
1514892300,-0.303442385111252
1514892600,-0.303078072746421
1514892900,-0.292970939515672
1514893200,-0.282080706204698
1514893500,-0.355022802003796
1514893800,-0.29650609326495597
1514894100,-0.27097349798471293
1514894400,-0.334026266302018
1514894700,-0.3124190325647449
1514895000,-0.3563287886405389
1514895300,-0.2960237585004701
1514895600,-0.45725701342001496
1514895900,-0.324420183419419
1514896200,-0.34068008342535294
1514896500,-0.324574102936782
1514896800,-0.3116554460228848
1514897100,-0.310523859781663
1514897400,-0.345352190536753
1514897700,-0.4674133476647369
1514898000,-0.3495550903304281
1514898300,-0.31737076058968894
1514898600,-0.247910150660807
1514898900,-0.3643514745921259
1514899200,-0.370084874043383
1514899500,-0.23759218926437004
1514899800,-0.25043765853739297
1514900100,-0.28709753281212
1514900400,-0.2953459584978931
