time,kW
1530507000,-69.04619905413325
1530507300,-66.08741793935901
1530507600,-66.76730602309011
1530507900,-62.16317655979715
1530508200,-58.50668610695925
1530508500,-56.04301672243646
1530508800,-52.73498672806705
1530509100,-44.34177002516876
1530509400,-36.829767393839035
1530509700,-28.64615511746045
1530510000,-23.632850199151388
1530510300,-22.08057461600295
1530510600,-21.058840344915794
1530510900,-14.693229764536479
1530511200,-10.193751457797356
1530511500,-7.616598736955639
1530511800,-6.597503772362848
1530512100,-2.00824116754548
1530512400,-1.74690984610951
1530512700,-1.00045202755878
1530513000,-0.46997254434275293
1530513300,-0.34766250045336
1530513600,-0.028016660095500023
1530513900,0.0
1530514200,0.0
1530514500,0.0
1530514800,0.0
1530515100,0.0
1530515400,0.0
1530515700,0.0
1530516000,0.0
1530516300,0.0
1530516600,0.0
1530516900,0.0
1530517200,0.0
1530517500,0.0
1530517800,0.0
1530518100,0.0
1530518400,0.0
1530518700,0.0
1530519000,0.0
1530519300,0.0
1530519600,0.0
1530519900,0.0
1530520200,0.0
1530520500,0.0
1530520800,0.0
1530521100,0.0
1530521400,0.0
1530521700,0.0
1530522000,0.0
1530522300,0.0
1530522600,0.0
1530522900,0.0
1530523200,0.0
1530523500,0.0
1530523800,0.0
1530524100,0.0
1530524400,0.0
1530524700,0.0
1530525000,0.0
1530525300,0.0
1530525600,0.0
1530525900,0.0
1530526200,0.0
1530526500,0.0
1530526800,0.0
1530527100,0.0
1530527400,0.0
1530527700,0.0
1530528000,0.0
1530528300,0.0
1530528600,0.0
1530528900,0.0
1530529200,0.0
1530529500,0.0
1530529800,0.0
1530530100,0.0
1530530400,0.0
1530530700,0.0
1530531000,0.0
1530531300,0.0
1530531600,0.0
1530531900,0.0
1530532200,0.0
1530532500,0.0
1530532800,0.0
1530533100,0.0
1530533400,0.0
1530533700,0.0
1530534000,0.0
1530534300,0.0
1530534600,0.0
1530534900,0.0
1530535200,0.0
1530535500,0.0
1530535800,0.0
1530536100,0.0
1530536400,0.0
1530536700,0.0
1530537000,0.0
1530537300,0.0
1530537600,0.0
1530537900,0.0
1530538200,0.0
1530538500,0.0
1530538800,0.0
1530539100,0.0
1530539400,0.0
1530539700,0.0
1530540000,0.0
1530540300,0.0
1530540600,0.0
1530540900,0.0
1530541200,0.0
1530541500,0.0
1530541800,0.0
1530542100,0.0
1530542400,0.0
1530542700,0.0
1530543000,0.0
1530543300,0.0
1530543600,0.0
1530543900,0.0
1530544200,0.0
1530544500,0.0
1530544800,0.0
1530545100,0.0
1530545400,0.0
1530545700,0.0
1530546000,0.0
1530546300,0.0
1530546600,0.0
1530546900,0.0
1530547200,0.0
1530547500,0.0
1530547800,0.0
1530548100,0.0
1530548400,0.0
1530548700,0.0
1530549000,0.0
1530549300,0.0
1530549600,0.0
1530549900,0.0
1530550200,0.0
1530550500,0.0
1530550800,0.0
1530551100,0.0
1530551400,0.0
1530551700,0.0
1530552000,0.0
1530552300,0.0
1530552600,0.0
1530552900,0.0
1530553200,0.0
1530553500,0.0
1530553800,0.0
1530554100,0.0
1530554400,0.0
1530554700,0.0
1530555000,0.0
1530555300,0.0
1530555600,0.0
1530555900,0.0
1530556200,0.0
1530556500,0.0
1530556800,0.0
1530557100,0.0
1530557400,0.0
1530557700,0.0
1530558000,0.0
1530558300,0.0
1530558600,0.0
1530558900,0.0
1530559200,0.0
1530559500,0.0
1530559800,0.0
1530560100,0.0
1530560400,0.0
1530560700,0.0
1530561000,0.0
1530561300,0.0
1530561600,0.0
1530561900,0.0
1530562200,0.0
1530562500,0.0
1530562800,0.0
1530563100,0.0
1530563400,0.0
1530563700,0.0
1530564000,0.0
1530564300,0.0
1530564600,0.0
1530564900,0.0
1530565200,0.0
1530565500,0.0
1530565800,0.0
1530566100,0.0
1530566400,0.0
1530566700,0.0
1530567000,-0.18119183499642
